SCRAPING DATE,TOKEN,ADDRESS,BALANCE
15/12/2021,HNT,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,398004.2945835
15/12/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,No Data Acquired
16/12/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,456297701.3
16/12/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,98355330.14
16/12/2021,LUNA,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,2710373.001211
16/12/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,No Data Acquired
16/12/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,302257.3859837436
16/12/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,311639656.1077
16/12/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,477600.6113
16/12/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No Data Acquired
16/12/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
16/12/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
16/12/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No Data Acquired
16/12/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,9064766.086642
16/12/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227204707.28741
16/12/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,21.75
16/12/2021,HBAR,0.0.358271,No Data Acquired
16/12/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.23970735595320924
16/12/2021,HNT,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,398046.48343001
16/12/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,No Data Acquired
17/12/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,456297701.3
17/12/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,98552450.75
17/12/2021,LUNA,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,2710809.667893
17/12/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,No Data Acquired
17/12/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,302382.1300034133
17/12/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,311639656.1077
17/12/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,477600.6113
17/12/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No Data Acquired
17/12/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
17/12/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
17/12/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No Data Acquired
17/12/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,9065391.18538
17/12/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227204707.28741
17/12/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,21.75
17/12/2021,HBAR,0.0.358271,No Data Acquired
17/12/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.23970735595320924
17/12/2021,HNT,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,398176.48921914
17/12/2021,RIF,0x6990b2bed3c0e60cc3980051da0dd7f3ebb1f9ed,No Data Acquired
19/12/2021,VET,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,456297701.3
19/12/2021,VTHO,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,98946691.96
19/12/2021,LUNA,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,2712087.633993
19/12/2021,MIR,terra1mfakl7w5pf8608k2esads9rumamt0jz32cmha3,No Data Acquired
19/12/2021,DOT,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,301760.8236785333
19/12/2021,STMX,0x6C314af837367aEC15505e8D0991377250877D98,311639656.1885
19/12/2021,RNDR,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,477600.6113
19/12/2021,SUKU,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,No Data Acquired
19/12/2021,LINK,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
19/12/2021,PUNDIX,0x5d2ef4c19679465e2205c2f4326484f4d30dcc18,No Data Acquired
19/12/2021,SNX,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,No Data Acquired
19/12/2021,ALGO,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,9060450.441968
19/12/2021,SC,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,227204707.28741
19/12/2021,XRP,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,21.75
19/12/2021,HBAR,0.0.358271,No Data Acquired
19/12/2021,EGLD,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,0.6597552343318723
